;2008-01-01;2008-02-01;2008-03-01;2008-04-01;2008-05-01;2008-06-01;2008-07-01;2008-08-01;2008-09-01;2008-10-01;2008-11-01;2008-12-01;2009-01-01
cb.a.row;11754526,0;11957192,0;11939824,0;12058089,0;12596225,0;12926050,0;13350274,0;13989261,0;14294776,0;14061172,0;12907606,0;12501207,0;12529131,0
cb.p.row;1188,0;1358,0;1541,0;1653,0;1651,0;1889,0;1931,0;1653,0;1846,0;1826,0;43248,0;1558,0;1279,0
cb.a.banks;134394,0;128950,0;318535,0;244302,0;185513,0;135110,0;136633,0;150648,0;257979,0;407372,0;1578619,0;2563231,0;3951899,0
cb.a.gov;354514,0;301165,0;353552,0;366338,0;367708,0;365337,0;362508,0;356834,0;354008,0;385120,0;400620,0;404672,0;354724,0
cb.p.gov;6041455,0;6608382,0;6776328,0;6927467,0;7483989,0;7570678,0;7693539,0;8500371,0;8656831,0;8352623,0;8288267,0;8385719,0;8139508,0
cb.a.otherfin;328,0;328,0;328,0;328,0;328,0;328,0;328,0;328,0;328,0;328,0;20328,0;74828,0;114972,0
cb.a.nonfincorp;597,0;2940,0;3275,0;2959,0;3167,0;2845,0;2404,0;4188,0;4119,0;3620,0;3860,0;3477,0;1294,0
cb.a.hh;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
cb.p.cash;4118563,0;3764493,0;3794269,0;3794353,0;3930875,0;3979697,0;4077216,0;4145667,0;4239161,0;4285341,0;4392623,0;4207953,0;4372081,0
cb.p.banks;1394844,0;1167423,0;1160267,0;1077141,0;1041215,0;1149855,0;1345772,0;1137992,0;1120916,0;1032492,0;889491,0;1101018,0;2022674,0
cb.p.otherfin;234,0;466,0;262,0;295,0;696,0;567,0;189,0;791,0;596,0;48595,0;17007,0;215649,0;174795,0
cb.p.nonfincorp;75638,0;136777,0;137980,0;133019,0;124842,0;124739,0;120167,0;117233,0;128610,0;78933,0;121935,0;119491,0;95610,0
cb.p.hh;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
cb.p.equity;462051,0;462028,0;462015,0;462000,0;474206,0;474182,0;474150,0;474103,0;473974,0;473909,0;473823,0;473762,0;1902352,0
cb.p.other;376906,0;497919,0;538743,0;516117,0;401201,0;376915,0;367489,0;353296,0;508952,0;820275,0;874044,0;1245231,0;594905,0
cb.a.other;226521,0;248269,0;255889,0;240031,0;305734,0;248851,0;228307,0;229845,0;219675,0;236384,0;189406,0;202966,0;351183,0
